order_id,user_id,seller_id,product_category,price,payment_type,seller_rating,delivery_days,order_date,user_state,user_past_returns,return_flag,return_reason,seller_bin,delay_bin,rrs,risk_tier,month
ORD000001,U00655,S0029,Fashion,341.34,COD,2.3,5,2023-01-26,Uttar Pradesh,2,1,Late delivery,2-3★,5-6 days,80,Very High,2023-01
ORD000002,U00251,S0058,Toys,1053.06,Prepaid,2.7,3,2023-05-23,Delhi,0,0,,2-3★,3-4 days,30,Medium,2023-05
ORD000003,U00693,S0190,Electronics,6447.91,COD,2.9,4,2023-03-31,Rajasthan,2,1,Damaged in transit,2-3★,3-4 days,65,High,2023-03
ORD000004,U00033,S0008,Electronics,1252.99,Prepaid,1.1,3,2023-04-06,Tamil Nadu,0,0,,1-2★,3-4 days,30,Medium,2023-04
ORD000005,U00239,S0130,Toys,665.06,COD,4.0,2,2023-01-28,Tamil Nadu,1,1,Damaged in transit,3-4★,1-2 days,35,Medium,2023-01
ORD000006,U00734,S0167,Sports,1441.9,COD,3.8,4,2024-03-05,Gujarat,1,1,Quality issue,3-4★,3-4 days,50,Medium,2024-03
ORD000007,U00604,S0072,Toys,1001.57,Prepaid,1.8,1,2023-01-07,Karnataka,0,0,,1-2★,1-2 days,30,Medium,2023-01
ORD000008,U00715,S0109,Fashion,1128.97,Prepaid,3.8,4,2023-12-15,Uttar Pradesh,0,0,,3-4★,3-4 days,30,Medium,2023-12
ORD000009,U00160,S0056,Fashion,943.2,Prepaid,4.7,4,2023-12-11,Delhi,0,0,,4-5★,3-4 days,15,Low,2023-12
ORD000010,U00095,S0098,Home & Kitchen,1399.51,COD,1.8,3,2023-04-10,West Bengal,2,0,,1-2★,3-4 days,65,High,2023-04
ORD000011,U00868,S0089,Sports,534.37,Prepaid,5.0,5,2023-09-28,Maharashtra,1,0,,4-5★,5-6 days,10,Low,2023-09
ORD000012,U00748,S0118,Electronics,3452.79,COD,1.6,5,2023-05-08,Delhi,0,1,Changed mind,1-2★,5-6 days,55,High,2023-05
ORD000013,U00566,S0076,Sports,687.31,Prepaid,2.7,3,2024-01-06,Telangana,0,0,,2-3★,3-4 days,30,Medium,2024-01
ORD000014,U00197,S0181,Beauty,425.16,Prepaid,5.0,3,2023-03-13,Maharashtra,3,0,,4-5★,3-4 days,20,Low,2023-03
ORD000015,U00678,S0059,Beauty,769.2,COD,2.9,6,2023-10-24,Tamil Nadu,3,1,Size mismatch,2-3★,5-6 days,85,Very High,2023-10
ORD000016,U00888,S0026,Electronics,5832.42,COD,2.7,3,2024-01-25,Gujarat,4,1,Wrong item,2-3★,3-4 days,75,High,2024-01
ORD000017,U00651,S0094,Electronics,1881.57,Prepaid,4.8,4,2023-06-16,West Bengal,0,0,,4-5★,3-4 days,0,Low,2023-06
ORD000018,U00364,S0054,Fashion,1544.38,Prepaid,3.6,3,2023-10-01,Delhi,4,1,Late delivery,3-4★,3-4 days,50,Medium,2023-10
ORD000019,U00624,S0163,Fashion,815.57,COD,4.2,3,2023-06-25,Tamil Nadu,2,1,Damaged in transit,4-5★,3-4 days,50,Medium,2023-06
ORD000020,U00168,S0119,Home & Kitchen,894.54,Prepaid,3.7,6,2024-01-24,Andhra Pradesh,0,1,Wrong item,3-4★,5-6 days,25,Low,2024-01
ORD000021,U00225,S0176,Fashion,1851.89,COD,3.8,5,2023-11-29,Maharashtra,0,0,,3-4★,5-6 days,55,High,2023-11
ORD000022,U00235,S0009,Electronics,6711.06,Prepaid,1.9,2,2023-11-20,Rajasthan,4,0,,1-2★,1-2 days,50,Medium,2023-11
ORD000023,U00275,S0017,Fashion,1244.29,Prepaid,3.8,2,2023-08-05,Telangana,3,0,,3-4★,1-2 days,50,Medium,2023-08
ORD000024,U00898,S0184,Home & Kitchen,1168.21,COD,3.2,7,2023-11-19,Tamil Nadu,3,0,,3-4★,7+ days,70,High,2023-11
ORD000025,U00672,S0128,Home & Kitchen,1005.4,COD,2.1,1,2024-02-10,Gujarat,0,0,,2-3★,1-2 days,55,High,2024-02
ORD000026,U00147,S0068,Home & Kitchen,1371.56,Prepaid,3.2,3,2023-05-23,Tamil Nadu,0,0,,3-4★,3-4 days,15,Low,2023-05
ORD000027,U00763,S0144,Home & Kitchen,1110.14,Prepaid,1.9,3,2023-09-27,Telangana,0,0,,1-2★,3-4 days,30,Medium,2023-09
ORD000028,U00439,S0150,Electronics,7033.04,Prepaid,4.2,4,2024-02-13,West Bengal,1,0,,4-5★,3-4 days,10,Low,2024-02
ORD000029,U00225,S0036,Fashion,373.23,COD,3.7,8,2024-06-05,Gujarat,4,0,,3-4★,7+ days,95,Very High,2024-06
ORD000030,U00094,S0194,Fashion,1195.49,COD,4.9,8,2023-02-18,Delhi,5,0,,4-5★,7+ days,80,Very High,2023-02
ORD000031,U00157,S0161,Fashion,1245.56,COD,3.0,7,2023-06-13,Rajasthan,2,1,Not as described,2-3★,7+ days,75,High,2023-06
ORD000032,U00611,S0017,Fashion,541.7,Prepaid,4.7,4,2024-01-30,Rajasthan,3,0,,4-5★,3-4 days,35,Medium,2024-01
ORD000033,U00611,S0120,Home & Kitchen,555.85,COD,5.0,6,2024-06-25,Andhra Pradesh,4,1,Wrong item,4-5★,5-6 days,55,High,2024-06
ORD000034,U00882,S0003,Electronics,9579.72,Prepaid,4.2,6,2023-04-28,Andhra Pradesh,3,1,Late delivery,4-5★,5-6 days,30,Medium,2023-04
ORD000035,U00769,S0069,Fashion,734.37,COD,4.0,3,2023-12-15,Uttar Pradesh,1,1,Size mismatch,3-4★,3-4 days,50,Medium,2023-12
ORD000036,U00446,S0041,Fashion,398.0,Prepaid,3.7,4,2024-04-09,Uttar Pradesh,2,1,Size mismatch,3-4★,3-4 days,40,Medium,2024-04
ORD000037,U00996,S0129,Home & Kitchen,2964.66,Prepaid,4.4,4,2023-07-02,Andhra Pradesh,0,0,,4-5★,3-4 days,0,Low,2023-07
ORD000038,U00935,S0028,Fashion,2010.32,COD,1.6,8,2023-11-02,Andhra Pradesh,3,1,Not as described,1-2★,7+ days,100,Very High,2023-11
ORD000039,U00624,S0051,Electronics,2881.39,COD,4.2,5,2023-06-06,West Bengal,0,0,,4-5★,5-6 days,25,Low,2023-06
